Rom	Game Title (Optimized)	Recommended Emulator	Pi 3B+ (OC 1700)	FPS	Visuals	Audio	Controls	Notes
eaglshot	Eagle Shot Golf	lr-fbneo	o	o	o	o	o	
earthjkr	U.N. Defense Force	lr-fbneo	o	o	o	o	o	
ebases	Extra Bases	lr-mame2016	o	o	o	o	o	Uses software color overlay
ecofghtr	Eco Fighters	lr-fbneo	o	o	o	o	o	Clone: (uecology)
edf	E.D.F.	lr-fbneo	o	o	o	o	o	
edrandy	Cliffhanger, The - Edward Randy	lr-fbneo	o	o	o	o	o	
eeekk	Eeekk!	lr-fbneo	o	o	o	o	o	
efdt	El Fin del Tiempo	lr-fbneo	o	o	o	o	o	
egghunt	Egg Hunt	lr-fbneo	o	o	o	o	o	
eggor	Eggor	lr-fbneo	o	o	o	o	o	
eggs	Eggs	lr-fbneo	o	o	o	o	o	Clone: (scregg)
eggventr	Egg Venture	lr-mame2016	o	o	o	o	lg	Lightgun or mouse for optimal eggness...
ehrgeiz	Ehrgeiz	lr-mame2016	!	!	o	o	o	
eightfrc	Eight Forces	lr-fbneo	o	o	o	o	o	
eightman	Eightman 	lr-fbneo	o	o	o	o	o	NEO-GEO
einning	Extra Inning	lr-mame2016	o	o	o	o	-	Note: Tune "P2 Hit" for P1 to swing the bat.  :O
ejihon	Ejihon Tantei Jimusyo	advmame	!	o	o	o	o	SEGA Titan Game. Only works with advmame.
elecyoyo	Electric Yo-Yo, The	lr-fbneo	o	o	o	o	o	
elevator	Elevator Action	lr-fbneo	o	o	o	o	o	
elim2	Eliminator (2 Players)	lr-mame	o	o	o	o	o	
elim4	Eliminator (4 Players)	lr-mame	o	o	o	o	o	
elvactr	Elevator Action Returns	lr-fbneo	o	o	o	o	o	
embargo	Embargo	lr-mame2016	o	o	o	x	o	It's Surround with boats. No audio for any emulator
emeralda	Emeraldia	lr-mame2003-Plus	o	o	o	-	o	namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). Tinny audio
empcity	Empire City: 1931	lr-fbneo	o	o	o	o	o	Clone: (stfight)
enduror	Enduro Racer	lr-fbneo	o	o	o	o	o	
enforce	Enforce	lr-fbneo	o	o	o	o	o	
enigma2	Enigma II	lr-mame	o	o	o	o	o	
enmadaio	Enma Daio	lr-fbneo	o	o	o	o	o	
eprom	Escape from the Planet of the Robot Monsters	lr-fbneo	o	o	o	o	o	
equites	Equites	lr-mame2016	o	o	o	o	o	
ertictac	[Adult] Erotictac	lr-mame	o	o	o	o	o	
esb	Empire Strikes Back, The	lr-mame	o	o	o	o	tb	
esckids	Escape Kids	lr-fbneo	o	o	o	o	o	
espgal	Espgaluda	lr-fbneo	?	o	o	o	o	Cave Shooter. MAME 2016 for best performance
espgal2	Espgaluda II	lr-mame2016	?	-	o	o	o	Cave Shooter. MAME 2016 for best performance + CPU Overclock to 52%
espial	Espial	lr-fbneo	o	o	o	o	o	
esprade	ESP Ra.De.	lr-fbneo	o	o	o	o	o	Cave Shooter.
eswat	E-Swat - Cyber Police	lr-fbneo	o	o	o	o	o	
eto	Kokontouzai Eto Monogatari	lr-fbneo	o	o	o	o	o	LONG black screen prior to entering gameplay
euroch92	Euro Champ '92	lr-fbneo	o	o	o	o	o	
evilston	Evil Stone	lr-fbneo	o	o	o	o	o	
excelsr	[Adult] Excelsior	lr-fbneo	o	o	o	o	o	
excitebk	Vs. Excitebike	lr-mame2016	o	o	o	o	o	<3
exctleag	Excite League	lr-fbneo	o	o	o	o	x	Controls not throttled by default. Issues with menu selection
exctscc2	Exciting Soccer II	lr-mame2016	o	o	o	o	o	
exctsccr	Exciting Soccer	lr-mame2016	o	o	o	o	o	
exedexes	Exed Exes	lr-fbneo	o	o	o	o	o	Clone: (savgbees)
exerion	Exerion	lr-mame2016	o	o	o	o	o	
explbrkr	Explosive Breaker	lr-fbneo	o	o	o	o	o	Clone: Bakuretsu Breaker (bakubrkr)
exprraid	Express Raider	lr-fbneo	o	o	o	o	o	Clone: (wexpress)
extdwnhl	Extreme Downhill	lr-fbneo	o	o	o	o	o	
exterm	Exterminator	lr-fbneo	o	o	o	o	o	
extrmatn	Extermination	lr-fbneo	o	o	o	o	o	
exvania	Exvania	lr-mame2003-Plus	o	o	o	-	o	Bomberman clone. namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). Tinny audio
exzisus	Exzisus	lr-fbneo	o	o	o	o	o	
eyes	Eyes	lr-fbneo	o	o	o	o	o	Clone: (eyeszacb)
f1dream	F-1 Dream	lr-mame2016	o	o	o	o	-	Odd controls. Separate button to HOLD for high gear/accelerate.
f1en	F1 Exhaust Note	lr-mame2003-Plus	o	o	-	o	o	Minor articfacts. Trade Offs: 2003: bad audio great control. Plus: good audio, crappy control. 2016 good audio/control - bad framerate. Everything else is worse. Suggest 2003 (most fun).
f1gp	F-1 Grand Prix	lr-fbneo	o	o	o	o	o	
f1gp2	F-1 Grand Prix Part II	lr-fbneo	o	o	o	o	o	
f1gpstar	Grand Prix Star	lr-mame2016	o	o	o	o	o	Game capped at 29.9 FPS
faceoff	Face Off	lr-fbneo	o	o	o	o	o	
fantasia	[Adult] Fantasia	lr-fbneo	o	o	o	o	o	
fantasyu	Fantasy	lr-fbneo	o	o	o	o	o	
fantjour	Fantastic Journey	lr-mame2016	!	-	o	o	o	Set CPU to 80%
fantland	Fantasy Land	lr-fbneo	o	o	o	o	o	
fantsia2	[Adult] Fantasia II	lr-fbneo	o	o	o	o	o	
fantsy95	[Adult] Fantasy '95	lr-fbneo	o	o	o	o	o	
fantzn2	Fantasy Zone II	lr-mame2016	o	o	o	o	o	
fantzone	Fantasy Zone	lr-fbneo	o	o	o	o	o	
farmer	Farmer's Rebellion	lr-fbneo	o	o	o	o	o	
fastfred	Fast Freddie	lr-fbneo	o	o	o	o	o	
fastlane	Fast Lane	lr-fbneo	o	o	o	o	o	Was a modern-day Dodge-em...
fatfursp	Fatal Fury Special	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
fatfury1	Fatal Fury	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
fatfury2	Fatal Fury 2	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
fatfury3	Fatal Fury 3	lr-fbneo	o	o	o	o	o	NEO-GEO; Red
fax	FAX	lr-mame2016	o	o	o	o	o	Very slow initialization process. Every time.
fball	Fire Ball	lr-fbneo	o	o	o	o	o	Bomberman Clone
fbfrenzy	Football Frenzy	lr-fbneo	o	o	o	o	o	NEO-GEO
fcombat	Field Combat	lr-mame2016	o	o	o	o	o	
feversos	Fever SOS	lr-fbneo	o	o	o	o	o	Clone: (dfeveron)
ffight	Final Fight	lr-fbneo	o	o	o	o	o	Clone: (fcrash)
ffightae	Final Fight 30th Anniversary Edition	lr-fbneo	o	o	o	o	o	
fghtatck	Fighter & Attacker	lr-mame2003-Plus	o	o	o	-	o	Clone: (fa); namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). Tinny audio
fghtbskt	Fighting Basketball	lr-fbneo	o	o	o	o	o	
fghthist	Fighters History	lr-fbneo	o	o	o	o	o	
fghthistu	Figher's History (US)	lr-fbneo	o	o	o	o	o	
fgoal	Field Goal	lr-mame2016	o	o	o	x	o	No audio with any emulator
fgtlayer	Fighting Layer	lr-mame2016	!	x	o	o	o	Pi4B can leverage CPU reduction to improve framerate, but with slightly slower gameplay
fhawk	Fighting Hawk	lr-fbneo	o	o	o	o	o	
fieldday	Field Day	lr-mame2016	o	o	o	o	o	
fightfev	Fight Fever	lr-fbneo	o	o	o	o	o	NEO-GEO
filetto	Filetto	lr-mame	o	o	o	o	o	CGA DOS converted to Arcade.
finalap2	Final Lap 2	lr-mame	x	o	x	x	-	Emulation for Final Lap games are lacking in all areas.
finalap3	Final Lap 3	lr-mame	x	o	x	x	x	Emulation for Final Lap games are lacking in all areas.
finalapr	Final Lap R	lr-mame2015	!	x	x	x	!	Emulation for Final Lap games are lacking in all areas. This version ONLY works with lr-mame2015. Go figure
finalb	Final Blow	lr-fbneo	o	o	o	o	o	
finalgdr	Final Godori (Korea)	lr-fbneo	o	o	o	o	o	Hanafuda
finalizr	Finalizer	lr-fbneo	o	o	o	o	o	Maybe the most off-key start game fanfare in history
finallap	Final Lap	lr-mame	x	o	x	x	-	Emulation for Final Lap games are lacking in all areas.
finalttr	FInal Tetris	lr-fbneo	o	o	o	o	o	With stolen samples from SF2
findlove	[Adult] Find Love	lr-mame2003-Plus	o	o	o	o	o	Best perforrmance with MAME 2003 series
finehour	Finest Hour	lr-fbneo	o	o	o	o	o	
firebatl	Fire Battle	lr-fbneo	o	o	o	o	o	
firebeas	[Proto] Firebeast	lr-fbneo	o	o	o	o	tb	Trackball or mouse control is best
fireone	Fire One	lr-mame2016	o	o	o	o	o	
fireshrk	Fire Shark	lr-fbneo	o	o	o	o	o	Clone: (samesame)
firetrap	Fire Trap	lr-fbneo	o	o	o	o	o	
firetrk	Fire Truck	lr-mame	o	o	o	o	o	
fishfren	[Proto] Fishin' Frenzy	lr-mame2016	o	o	o	o	o	
fitegolf	Lee Trevino's Fighting Golf	lr-fbneo	o	o	o	o	o	
fitfight	Fit of Fighting	lr-mame2016	o	o	o	x	o	No audio with any emulator
fixeight	Fixeight	lr-fbneo	o	o	o	o	o	
flagrall	'96 Flag Rally	lr-fbneo	o	o	o	o	o	
flamegun	Flame Gunner	lr-mame2016	!	o	o	o	o	
flashgal	Flashgal	lr-fbneo	o	o	o	o	o	
flicky	Flicky	lr-fbneo	o	o	o	o	o	
flipjack	Flipper Jack	lr-fbneo	o	o	o	o	o	
flipshot	Battle Flip Shot	lr-fbneo	o	o	o	o	o	NEO-GEO
flower	Flower	lr-fbneo	o	o	o	o	o	
flstory	Fairyland Story, The	lr-fbneo	o	o	o	o	o	
flyball	Flyball	lr-mame2016	o	o	o	o	o	Requires 2 players
flyboy	Fly-Boy	lr-fbneo	o	o	o	o	o	Clone of something. Can't think of its name
flytiger	Flying Tiger	lr-fbneo	o	o	o	o	o	
fncywld	Fancy World	lr-fbneo	o	o	o	o	o	Bubble Bobble clone
fnkyfish	Funky Fish	lr-fbneo	o	o	o	o	o	
foodf	Food Fight	lr-fbneo	o	o	o	o	o	using 2003 for perfect controls. plus lacks additional angles.
footchmp	Football Champ	lr-fbneo	o	o	o	o	o	Clone: (hthero)
forgottn	Forgotten Worlds	lr-fbneo	o	o	o	o	o	Clone: (lostwrld)
formatz	Formation Z	lr-fbneo	o	o	o	o	o	Clone: "Aeroboto" (aeroboto)
fort2b	Fortress 2 Blue Arcade	lr-fbneo	?	-	o	o	o	Intro screen lags. Gameplay is not a problem (4B)
fourtrax	Four Trax	lr-mame2016	!	o	o	o	o	
fpoint	Flash Point	lr-fbneo	o	o	o	o	o	Tetrisish
fredmem	[Ticket] Fred Flinstones' Memory Match		o	o	o	o	o	
freekick	Free Kick	lr-fbneo	o	o	o	o	sp	
freeze	Freeze	lr-fbneo	o	o	o	o	o	
frenzy	Frenzy	lr-fbneo	o	o	o	o	o	
friskyt	Frisky Tom	lr-fbneo	o	o	o	o	o	
frogger	Frogger	lr-fbneo	o	o	o	o	o	Clone (frogf) (frogg) (froggrs)
frogs	Frogs	lr-mame	o	o	o	o	o	
froman2b	[Adult] Taisen Idol-Mahjong Final Romance 2	lr-fbneo	o	o	o	o	o	NEO-GEO Mahjong. No keyboard required
fromanc4	[Adult] Taisen Mahjong Final Romance 4	lr-mame2016	o	o	o	o	kb	
fromancr	[Adult] Taisen Mahjong Final Romance R	lr-mame2016	o	o	o	o	kb	
frontlin	Front Line	lr-fbneo	o	o	o	o	-	Redo default controls. Has aim similar to Ikari Warriors (rotational stick). Can subsitute with L-button and R-button
fround	Final Round, The	lr-fbneo	o	o	o	o	o	Clone: (hpuncher)
fshark	Flying Shark	lr-fbneo	o	o	o	o	o	Clone (fnshark) (hishouza) (skyshark)
fsoccer	Fighting Soccer	lr-mame2016	o	o	o	o	o	Previous ROM name: (ftsoccer)
fspiderb	Frog & Spiders	lr-fbneo	o	o	o	o	o	
fstarfrc	Final Star Force	lr-fbneo	o	o	o	o	o	
ftimpcta	Fighters' Impact A	lr-mame2016	x	x	x	o	o	SEGA Titan. advmame crashes.
funkybee	Funky Bee	lr-fbneo	o	o	o	o	o	
funkyfig	First Funky Figher, The	lr-mame2016	o	o	o	o	kb	Recommended Keyboard by default (9 buttons needed)
funkyjet	Funky Jet	lr-fbneo	o	o	o	o	o	
funybubl	[Adult] Funny Bubble	lr-fbneo	o	o	o	o	o	
futari15	Mushihime-Sama Futari 1.5	lr-mame2016	!	-	o	o	o	MAME 2016 for best performance + CPU Overclock to 36%
futaribl	Mushihime-Sama Futari Black Label	lr-mame2016	!	-	o	o	o	MAME 2016 for best performance + CPU Overclock to 36%
futspy	Future Spy	lr-fbneo	o	o	o	o	o	Feels like reused Zaxxon code and SFX
g13knd	Golgo 13 II	advmame	!	x	o	x	lg	Sega Titan
ga2	Golden Axe: The Revenge of Death Adder	lr-mame2016	x	o	o	o	o	
gaia	Gaia Crusaders	lr-fbneo	o	o	o	o	o	
gaialast	Gaia	lr-fbneo	o	o	o	o	o	
gaiapols	Gaiapolis	lr-fbneo	o	o	o	o	o	
gaiden	Ninja Gaiden	lr-fbneo	o	o	o	o	o	Clone: (ryukendn, shadoww)
galaga	Galaga	lr-fbneo	o	o	o	o	o	perfection
galaga3	Galaga 3	lr-fbneo	o	o	o	o	o	
galaga88	Galaga '88	lr-fbneo	o	o	o	o	o	
galaxian	Galaxian	lr-fbneo	o	o	o	o	o	Clone: (superg, zerotime, galaktron, galaxrf, galaxrfgg, galaxrcgg, galap1, galap4, galapx, galaxyx, kamakaze3, starfght)
galaxyfg	Galaxy Fight	lr-fbneo	o	o	o	o	o	NEO-GEO
galaxygn	Galaxy Gunners	lr-fbneo	o	o	o	o	o	
galhustl	[Adult] Gals Hustler	lr-fbneo	o	o	o	o	o	
galivan	Galivan Cosmo Police	lr-fbneo	o	o	o	o	o	
galmedes	Galmedes	lr-fbneo	o	o	o	o	o	
galpani2	[Adult] Gals Panic 2	lr-mame	o	o	o	o	o	
galpani3	[Adult] Gals Panic 3	lr-fbneo	o	o	o	o	o	
galpani4	[Adult] Gals Panic 4	lr-fbneo	o	o	o	o	o	
galpanic	[Adult] Gals Panic	lr-fbneo	o	o	o	o	o	
galpanis	[Adult] Gals Panic S	lr-fbneo	o	o	o	o	o	
galpans2	[Adult] Gals Panic S2	lr-fbneo	o	o	o	o	o	
galpans3	[Adult] Gals Panic S3	lr-fbneo	o	o	o	o	o	
galspnbl	[Adult] Gals Pinball	lr-mame	o	o	o	o	o	
galturbo	Galaxian (Hack: Turbo)	lr-fbneo	o	o	o	o	o	
galxwars	Galaxy Wars	lr-mame	o	o	o	o	o	Uses software color overlay
gametngk	Game Paradise, The	lr-mame2016	x	o	o	o	o	Runs w/any emulator. 3B+: advmame gameplay is fastest, but slow in later screens. Menus are sluggish. Missing gameplay voice & sfx. Other EMUs have more sound but worse performance in gameplay 4B: Use 2016, since 2015 has some jumpy graphics
ganbare	Ganbare! Marine Kun	lr-fbneo	o	o	o	o	o	
gangwars	Gang Wars	lr-fbneo	o	o	o	o	o	
ganryu	Ganryu	lr-fbneo	o	o	o	o	o	NEO-GEO
gaplus	Gaplus	lr-fbneo	o	o	o	o	o	
gardia	Gardia	lr-fbneo	o	o	o	o	o	
garogun	Garogun Seroyang	lr-fbneo	o	o	o	o	o	
garou	Garou Mark of the Wolves	lr-fbneo	o	o	o	o	o	NEO-GEO
garyoret	Garyo Retsuden	lr-fbneo	o	o	o	o	o	
gaunt2	Gauntlet II	lr-fbneo	o	o	o	o	o	
gauntlet	Gauntlet	lr-fbneo	o	o	o	o	o	
gberet	Green Beret	lr-fbneo	o	o	o	o	o	Clone: Rush'n Attack (rushatck)
gbusters	Gang Busters	lr-fbneo	o	o	o	o	o	Clone: (crazycop)
gcpinbal	Grand Cross	lr-mame	o	o	o	o	o	
gdarius	G-Darius	advmame	x	o	o	o	o	Works w/advmame. Too slow for lr_MAME versions
gdarius2	G-Darius Ver.2	advmame	x	o	o	o	o	Works w/advmame. Too slow for lr_MAME versions
gdfs	Mobile Suit Gundam Ex Revue	lr-fbneo	o	o	o	o	o	
geebee	Gee Bee	lr-fbneo	o	o	o	o	sp	Probably best with a paddle/spinner controller
gekiridn	Gekirindan	lr-fbneo	o	o	o	o	o	
gekisou	Gekisou	lr-mame2016	o	o	o	o	o	
gemini	Gemini Wing	lr-fbneo	o	o	o	o	o	
genix	Genix Family	lr-fbneo	o	o	o	o	o	It's a Pang clone
genpeitd	Genpei Toumaden	lr-fbneo	o	o	o	o	o	
getstarj	GetStar	lr-fbneo	o	o	o	o	o	
gfire2	[Adult] Golden Fire II	lr-fbneo	o	o	o	o	o	
gforce2	Galaxy Force 2	lr-fbneo	o	o	o	o	o	
gghost	Goalie Ghost	lr-mame2016	o	o	o	o	o	
gground	Gain Ground	lr-fbneo	o	o	o	o	o	Sideways boot logo screen is correct
ghlpanic	Ghoul Panic	lr-mame2016	x	x	o	o	lg	Razing/Namco.shooter. Lots of "meow" humor
ghoshunt	Ghost Hunter	lr-mame	o	o	o	o	lg	Lighgun ideal
ghostb	Real Ghostbusters, The	lr-fbneo	o	o	o	o	o	Clone: (meikyuh)
ghostb3	Real Ghostbusters, The (3P)	lr-fbneo	o	o	o	o	o	Clone: (meikyuh)
ghostlop	Ghostlop	lr-fbneo	o	o	o	o	o	NEO-GEO
ghostmun	Pac-Man (Bootleg: Ghostmuncher)	lr-fbneo	o	o	o	o	o	Clone: (gmgalax)
ghouls	Ghouls'N Ghosts	lr-fbneo	o	o	o	o	o	Clone: (daimakai)
ghox	Ghox	lr-fbneo	o	o	o	o	o	Download/install samples
gigandes	Gigandes	lr-fbneo	o	o	o	o	o	
gigas	Gigas	lr-fbneo	o	o	o	o	sp	Paddle/spinner/mouse preferred
gigasm2b	Gigas Mark II	lr-mame2016	o	o	o	o	sp	
gigawing	Giga Wing	lr-fbneo	o	o	o	o	o	Great Capcom shooter (vertical, but horizontal layout)
gijoe	G.I. Joe	lr-fbneo	o	o	o	o	o	
gimeabrk	Gimme a Break	lr-mame	o	o	o	o	tb	
ginganin	Ginga Ninkyouden	lr-fbneo	o	o	o	o	o	
ginkun	Ganbare Ginkun	lr-fbneo	o	o	o	o	o	
gladiatr	Gladiator	lr-fbneo	o	o	o	o	o	Supported by FBNeo in late 2020
glass	[Adult] Glass	lr-fbneo	o	o	o	o	o	
glfgreat	Golfing Greats	lr-mame2016	x	o	o	o	o	
gloc	G-Loc Air Battle	lr-fbneo	o	o	o	o	o	
glpracr	Gallop Racer	lr-mame2016	x	o	o	o	o	Sega Titan
glpracr2	Gallop Racer 2	lr-mame2016		o	o	o	o	Sega Titan
glpracr3	Gallop Racer 3	lr-mame2016		x	o	o	o	Sega Titan; FPS drops during high-res horse preview
gmissile	Guided Missile	lr-mame	o	o	o	o	o	Download/install samples
gnbarich	Gunbarich	lr-fbneo	o	o	o	o	o	
gng	Ghosts'N Goblins	lr-fbneo	o	o	o	o	o	Clone: (makaimur)
go2000	Go 2000 (Korea)	lr-fbneo	o	o	o	o	o	Hanafuda
goal92	Goal! 92	lr-mame2016	o	o	o	o	o	
goalx3	Goal! Goal! Goal!	lr-fbneo	o	o	o	o	o	NEO-GEO
godzilla	Godzilla	lr-fbneo	o	o	o	o	o	
gogomile	Go Go! Mile Smile	lr-fbneo	o	o	o	o	o	
goindol	Goindol	lr-fbneo	o	o	o	o	o	Clone: (homo)
goldbug	Gold Bug	lr-mame2016	o	o	o	o	o	
goldmedl	Gold Medalist	lr-fbneo	o	o	o	o	o	
goldnaxe	Golden Axe	lr-fbneo	o	o	o	o	o	
golgo13	Golgo 13	advmame	!	x	o	x	lg	Sega Titan (Long initialization black, white, black...)
gollygho	Golly! Ghost!	lr-mame2016	-	o	o	o	lg	A MUST to get background artwork. Works REALLY well.
gomoku	Gomoku Narabe Renju	lr-mame2016	o	o	o	o	o	
gondo	Gondomania	lr-mame2016	o	o	o	o	o	Clone: (makyosen)(gondou)
goonies	Vs. Goonies, The	lr-mame2016	o	o	o	o	o	
goori	[Adult] Goori Goori	lr-fbneo	o	o	o	o	o	
gorf	Gorf	lr-mame2016	o	o	o	o	o	
gotcha	Got-Cha Mini Game Festival	lr-fbneo	o	o	o	o	o	Clone: (ppchamp)
gowcaizr	Voltage Fighter Gowcaizer	lr-fbneo	o	o	o	o	o	NEO-GEO
gpgolf	Golden Par Golf	lr-mame2016	o	o	o	o	o	
gpilots	Ghost Pilots	lr-fbneo	o	o	o	o	o	NEO-GEO
gprider	GP Rider	lr-fbneo	o	o	o	o	o	
gradius	Gradius	lr-fbneo	o	o	o	o	o	Parent: Nemesis (nemesis). May need to merge roms from parent. Gradius is the common name outside of Japan.
gradius2	Gradius II	lr-mame2003	o	o	o	o	o	Clone: (vulcan); Graphics corrupt w/later ARM-based MAME emus
gradius3	Gradius III	lr-fbneo	o	o	o	o	o	
grainbow	SD Gundam Sangokushi Rainbow Tairiku Senki	lr-fbneo	o	o	o	o	o	Clone: (grainbowk)
grasspin	Grasspin	lr-fbneo	o	o	o	o	o	
gratia	Gratia	lr-mame2016	x	o	o	o	o	
gravitar	Gravitar	lr-mame	o	o	o	o	o	
grchamp	Grand Champion	lr-mame	o	o	o	o	o	
grdforce	Guardian Force	advmame	x	o	o	x	o	Sega Titan. Magnification 3 can still handle full-speed
grdian	Guardian	lr-fbneo	o	o	o	o	o	Clone: (getstarj)
grdians	Guardians	lr-fbneo	o	o	o	o	o	
grdnstrm	Guardian Storm	lr-fbneo	o	o	o	o	o	Clone: (redfoxwp2)
greatgun	Great Guns	lr-mame	o	o	o	o	lg	
gridiron	Gridiron Fight	lr-mame2016	o	o	o	o	o	
gridlee	Gridlee	lr-mame	o	o	o	o	o	
grindstm	Grind Stormer	lr-fbneo	o	o	o	o	o	Clone: (vfive)
grndtour	[Adult] Grand Tour	lr-fbneo	o	o	o	o	o	
grobda	Grobda	lr-fbneo	o	o	o	o	o	
groovef	Groove on Fight	advmame	x	o	-	o	o	Sega Titan. Magnification 2 is 100%. 3 will drops FPS. Some visual ghosting with advmame
groundfx	Ground Effects	lr-fbneo	o	o	o	o	o	
growl	Growl	lr-fbneo	o	o	o	o	o	Clone: (runark)
grudge	Grudge Match	lr-mame2016	o	o	o	o	o	
gseeker	Grid Seeker	lr-fbneo	o	o	o	o	o	
gslgr94u	Great Sluggers '94	lr-mame2010	x	o	o	o	o	namconb1.c driver not compatible with lr-mame or lr-mame2016
gstream	G-Stream G 2020	lr-fbneo	o	o	o	o	o	
gstrik2	Grand Striker 2	lr-fbneo	o	o	o	o	o	
gstriker	Grand Striker	lr-mame	o	o	!	o	o	Bad graphics in many areas of gameplay field. No emulator supports
gsword	Great Swordsman	lr-mame2016	o	o	o	o	o	
gt2k	Golden Tee 2K	lr-fbneo	o	o	o	o	tb	
gt3d	Golden Tee 3D Golf	lr-fbneo	o	o	o	o	tb	
gt507uk	Trivia (v5.07)	lr-mame	o	o	o	o	o	Will need to turn off "SERVICE MODE" Dip Switch to play
gt97	Golden Tee '97	lr-fbneo	o	o	o	o	tb	
gt98	Golden Tee '98	lr-fbneo	o	o	o	o	tb	
gt99	Golden Tee '99	lr-fbneo	o	o	o	o	tb	
gtclassc	Golden Tee Classic	lr-fbneo	o	o	o	o	tb	
gtdiamond	Golden Tee Tournament: Diamond Edition	lr-fbneo	o	o	o	o	o	Will eventually move past the modem not found error
gtg	Golden Tee Golf	lr-mame2016	o	o	o	o	o	
gtg2	Golden Tee II (Trackball)	lr-mame	o	o	o	o	tb	
gtgt	Golden Tee Golf (Trackball)	lr-mame2016	o	o	o	o	tb	
gtmr	Great 1000 Miles Rally	lr-fbneo	o	o	o	o	o	
gtmr2	Great 1000 Miles Rally: Mille Miglia 2	lr-fbneo	o	o	o	o	o	
gtmre	Great 1000 Miles Rally: Evolution Model!	lr-fbneo	o	o	o	o	o	
gtmrusa	Great 1000 Miles Rally: U.S.A. Version!	lr-fbneo	o	o	o	o	o	
gtroyal	Golden Tee Tournament: Royal Edition	lr-fbneo	o	o	o	o	o	Will eventually move past the modem not found error
gtsers1	Trivia (Series 1)	lr-mame	o	o	o	o	o	
gtsers8	Trivia (Series 8)	lr-mame	o	o	o	o	o	"ERROR" will clear. If not, press F2.
gtsupreme	Golden Tee: Supreme Edition	lr-fbneo	o	o	o	o	o	Will eventually move past the modem not found error
guab	Give Us a Break	lr-mame2015	o	o	o	o	o	Trivia. Doesn't load w/ 2016 or lr-mame
guardian	Guardians of the 'Hood	lr-mame2016	o	o	o	o	o	Really bad beat-em up...
gulfstrm	Gulf. Storm	lr-fbneo	o	o	o	o	o	Weird period in title, but it's real...
gulfwar2	Gulf War-II	lr-fbneo	o	o	o	o	o	
gulunpa	Gulun Pa!	lr-fbneo	o	o	o	o	o	
gumbo	[Adult] Gumbo	lr-fbneo	o	o	o	o	o	
gunbird	Gunbird	lr-fbneo	o	o	o	o	o	UI below framerate, but gameplay is excellent.
gunbird2	Gunbird 2	lr-fbneo	o	o	o	o	o	EXCELLENT shooter
gunbustr	Gunbuster	lr-fbneo	o	o	o	o	lg	
gundamex	Mobile Suit Gundam	lr-fbneo	o	o	o	o	o	
gundealr	[Adult] Gun Dealer	lr-mame	o	o	o	o	o	
gundhara	Gundhara	lr-fbneo	o	o	o	o	o	
gundl94	[Adult] Gun Dealer '94	lr-fbneo	o	o	o	o	o	Clone: (primella)
gunfight	Gun Fight	lr-mame2016	o	o	o	o	o	Software overlay color
gunforc2	Gun Force II	lr-fbneo	o	o	o	o	o	Clone (geostorm)
gunforce	Gun Force	lr-fbneo	o	o	o	o	o	
gunfront	Gun Frontier	lr-fbneo	o	o	o	o	o	
gunlock	Gunlock	lr-fbneo	o	o	o	o	o	Clone: (rayforce)
gunmast	Gun Master	lr-fbneo	o	o	o	o	o	
gunnail	Gunnail	lr-fbneo	o	o	o	o	o	
gunsmoke	Gunsmoke	lr-fbneo	o	o	o	o	o	
gururin	Gururin	lr-fbneo	o	o	o	o	o	NEO-GEO
guts	[Proto] Guts and Glory	lr-mame	o	o	o	o	o	
gutsn	Guts'N	lr-fbneo	o	o	o	o	o	
guwange	Guwange	lr-fbneo	o	o	o	o	o	Cave game
guzzler	Guzzler	lr-fbneo	o	o	o	o	o	
gwar	Guerrilla War	lr-fbneo	o	o	o	o	o	Need to manually adjust controls (Ikari Warriors style)
gwarrior	Galactic Warriors	lr-fbneo	o	o	o	o	o	
gypsyjug	Gypsy Juggler	lr-mame	o	o	o	o	o	Software color overlay
gyrodine	Gyrodine	lr-fbneo	o	o	o	o	o	Clone: (buzzard)
gyruss	Gyruss	lr-fbneo	o	o	o	o	o	Clone: (venus)
hachamfb	Hacha Mecha Fighter	lr-fbneo	o	o	o	o	o	
hachoo	Hachoo!	lr-fbneo	o	o	o	o	o	
hal21	Hal 21	lr-fbneo	o	o	o	o	o	
halfway	Progear (Hack: Halfway to Hell)	lr-fbneo	o	o	o	o	o	
halleys	Halley's Comet	lr-mame2003-Plus	o	o	o	o	o	lr-mame ROM name: (halleysc). lr-mame pops audio on Pi4B. 2016 black screen. 2015 too slow. Recommend 2003-Plus.
hamaway	Hammer Away	lr-fbneo	o	o	o	o	o	
hammer	Hammer	lr-mame2016	o	o	o	o	lg	
hanaawas	Hana Awase	lr-mame2016	o	o	o	o	kb	
hanagumi	Hanagumi Taisen Columns	advmame	o	o	o	o	o	SEGA Titan. Magnification 3, no problem
hanakanz	Hana Kanzashi	lr-mame2016	o	o	o	o	kb	
hanaoji	[Adult] Hana to Ojisan	lr-mame	o	o	o	o	kb	
hanaroku	Hanaroku	lr-mame2016	o	o	o	o	kb	
hanayara	Hana wo Yaraneba!	lr-mame2016	o	o	o	o	kb	
